scene	filename	lm_scene	keyword	alt1	alt2	alt3	alt4	alt5	snr	interferer.type	num_tokens
S51981	ir5yzW0yIk0-107.0-112.4	0.08	animal	enemies	annual	radical	animal	enemy	2.7	speech	10
S52163	QE8kNh52EeU-48.1-50.5	0.08	affluent	absent	affluent	albert	influence	ambient	2.7	speech	7
S50327	uwKS1lT_YZU-810.3-817.0	0.08	alliances	appliances	licenses	appearances	alliances	slices	2.7	speech	11
S50098	JJyeKiT8g4g-125.0-129.8	0.09	profits	process	products	profits	parts	graphics	2.7	speech	10
S51030	bqQJv4bvrPI-864.6-870.8	0.09	centers	filters	renders	hinders	centers	seniors	2.7	speech	12
S52032	bqQJv4bvrPI-758.5-765.1	0.1	radical	radical	animal	typical	rational	casual	2.7	speech	12
S50155	oMBVxhO57JE-310.1-315.2	0.1	present	credit	doesn't	product	promised	present	2.7	speech	10
S51045	UfWh3OHYbEM-626.4-630.4	0.1	terminal	personally	None	permanent	personal	thermal	2.7	speech	9
S50703	sBQv41YbdCk-220.2-223.9	0.1	attitude	altitude	avatar	gratitude	magnitude	attitude	2.7	speech	8
S51565	bqQJv4bvrPI-878.4-884.4	0.16	responsive	responded	expansive	response	responsive	expensive	2.7	speech	12
S51958	2g8BeujckJY-465.5-471.7	0.17	marital	chemical	marital	movable	medicine	medical	2.7	speech	10
S51046	VasJyDmMafA-601.1-604.4	0.18	garner	border	ponder	garner	wander	harder	2.7	speech	9
S52070	QE8kNh52EeU-416.3-419.0	0.18	stresses	stresses	stretched	strength	spreads	strengthen	2.7	speech	9
S50520	KGPjwFw6JaQ-570.9-576.5	0.18	turn	hurt	turn	learn	serve	burn	2.7	speech	11
S50503	FG6NHP9nV3g-84.9-88.3	0.18	bill	bar	bill	meal	beer	bit	2.7	speech	11
S51839	z3d_UsYgt1c-127.9-132.1	0.18	pharmacy	policy	formal	family	pharmacy	forest	2.7	speech	10
S50147	CbnQtb9LUY4-347.9-353.2	0.18	failures	filters	failures	figures	papers	fibers	2.7	speech	12
S52625	oMBVxhO57JE-692.9-699.9	0.19	urge	search	early	age	urge	words	2.7	speech	9
S51715	kdAs3UVgIGg-871.1-876.4	0.2	computation	composition	population	competition	computation	reputation	2.7	speech	12
S52112	UfWh3OHYbEM-24.0-27.7	0.2	buddy	funny	money	many	body	buddy	2.7	speech	13
S52795	IGJt7QmtUOk-339.7-344.8	0.21	citizen	citizen	kitchen	michelin	season	saturn	2.7	speech	11
S52096	TLZ6W-Nqv1I-378.9-383.6	0.21	crusaders	creators	traders	considers	craters	crusaders	2.7	speech	10
S51868	uwKS1lT_YZU-102.4-107.6	0.21	silence	None	patience	sentence	sequence	science	2.7	speech	11
S52346	Mm-_QZ_tf0s-197.3-201.5	0.21	expert	excellent	expert	oxford	effort	export	2.7	speech	10
S51311	ssR-RguvjHo-559.2-562.7	0.21	cause	god	could	car	kid	cause	2.7	speech	11
S51640	FG6NHP9nV3g-168.7-172.8	0.22	it's	east	x	adds	it's	end	2.7	speech	13
S51754	2KMk1lJGPlk-93.4-99.2	0.22	behaving	breaking	saving	beginning	remaining	None	2.7	speech	13
S50140	w8mToWb9NC8-424.7-427.7	0.23	solutions	positions	collections	illusions	sessions	None	2.7	speech	8
S50992	WxPGJhyFIZk-169.2-173.7	0.23	michigan	missions	megan	morgan	million	None	2.7	speech	12
S51617	PNLwMSvPurc-177.3-181.3	0.23	core	car	god	gall	core	good	2.7	speech	9
S50382	PXB3-yVGHcI-82.3-88.2	0.23	reviving	providing	None	thriving	surviving	driving	2.7	speech	12
S51801	BTB_HPL2r88-783.6-787.7	0.23	design	None	detail	divine	device	remain	2.7	speech	12
S51444	PNLwMSvPurc-698.7-703.2	0.23	nothing	setting	nothing	running	missing	putting	2.7	speech	12
S52542	PNLwMSvPurc-76.1-79.1	0.23	rational	regional	cabinet	national	animal	rational	2.7	speech	9
S50947	8NSQYO2es3U-178.2-184.0	0.24	bayou	None	five	via	file	bike	2.7	speech	13
S51408	PNLwMSvPurc-258.5-262.2	0.24	true	plea	true	three	tree	free	2.7	speech	11
S52405	oMBVxhO57JE-617.5-621.1	0.25	loneliness	boldness	holiness	boneless	lonely	loneliness	2.7	speech	8
S50226	bUqur6hZvKg-643.8-647.9	0.25	stand	spend	stand	steered	scanned	stunned	2.7	speech	11
S50417	kWyQNCOow7A-428.1-432.6	0.25	place	place	plate	blade	trace	price	2.7	speech	12
S52005	QE8kNh52EeU-516.9-520.5	0.25	define	defend	divide	design	define	remain	2.7	speech	10
S52560	9EBkS2kE7uk-1058.4-1062.6	0.26	stories	stories	styles	species	storms	studies	2.7	speech	13
S51394	uwKS1lT_YZU-572.3-576.9	0.26	name	nine	rape	name	time	came	2.7	speech	13
S50552	FrqBWQ-mVEc-60.8-67.5	0.26	great	trade	growth	played	None	brain	2.7	speech	13
S52374	QE8kNh52EeU-317.9-320.9	0.27	fundamental	fundamentalist	fundamentally	fundamental	sentimental	monumental	2.7	speech	9
S50425	MgM8MGEikDY-292.0-296.7	0.27	scaling	scaling	trading	training	placing	smiling	2.7	speech	12
S51686	bUqur6hZvKg-202.1-207.2	0.27	happening	battling	happening	hobbling	listening	paddling	2.7	speech	13
S52318	-3y6_7_5PcQ-129.3-133.7	0.28	live	time	life	like	live	write	2.7	speech	10
S52202	DhnBn_c9f8Q-618.1-621.7	0.28	incredible	incredible	inaudible	inscrutable	incredibly	inaccessible	2.7	speech	9
S52765	TLZ6W-Nqv1I-703.1-706.4	0.28	working	None	worship	serving	learning	turning	2.7	speech	7
